out,52,172.16.0.5,8.8.8.8,1732985500.100000000,0,52
in,84,8.8.8.8,172.16.0.5,1732985500.200000000,84,52
out,1500,172.16.0.5,142.250.185.78,1732985501.300000000,84,1552
in,2400,142.250.185.78,172.16.0.5,1732985501.400000000,2484,1552
out,320,172.16.0.5,93.184.216.34,1732985502.500000000,2484,1872
in,960,93.184.216.34,172.16.0.5,1732985502.600000000,3444,1872
out,64,172.16.0.5,1.1.1.1,1732985503.700000000,3444,1936
in,128,1.1.1.1,172.16.0.5,1732985503.800000000,3572,1936
out,1500,172.16.0.5,104.16.132.229,1732985504.900000000,3572,3436
in,3200,104.16.132.229,172.16.0.5,1732985505.000000000,6772,3436
