out,52,192.168.1.100,8.8.8.8,1732985432.123456789,0,52
in,84,8.8.8.8,192.168.1.100,1732985432.234567890,84,52
out,1500,192.168.1.100,142.250.185.78,1732985433.345678901,84,1552
in,1500,142.250.185.78,192.168.1.100,1732985433.456789012,1584,1552
out,80,192.168.1.100,151.101.1.140,1732985434.567890123,1584,1632
in,1200,151.101.1.140,192.168.1.100,1732985434.678901234,2784,1632
out,64,192.168.1.100,104.16.132.229,1732985435.789012345,2784,1696
in,980,104.16.132.229,192.168.1.100,1732985435.890123456,3764,1696
out,1500,192.168.1.100,142.250.185.78,1732985436.901234567,3764,3196
in,1500,142.250.185.78,192.168.1.100,1732985437.012345678,5264,3196
out,52,192.168.1.100,8.8.4.4,1732985438.123456789,5264,3248
in,84,8.8.4.4,192.168.1.100,1732985438.234567890,5348,3248
out,750,192.168.1.100,172.217.14.206,1732985439.345678901,5348,3998
in,2200,172.217.14.206,192.168.1.100,1732985439.456789012,7548,3998
out,320,192.168.1.100,93.184.216.34,1732985440.567890123,7548,4318
in,1100,93.184.216.34,192.168.1.100,1732985440.678901234,8648,4318
out,64,192.168.1.100,1.1.1.1,1732985441.789012345,8648,4382
in,128,1.1.1.1,192.168.1.100,1732985441.890123456,8776,4382
out,1500,192.168.1.100,142.250.185.78,1732985442.901234567,8776,5882
in,1500,142.250.185.78,192.168.1.100,1732985443.012345678,10276,5882
out,640,192.168.1.100,151.101.1.140,1732985444.123456789,10276,6522
in,3200,151.101.1.140,192.168.1.100,1732985444.234567890,13476,6522
out,1500,192.168.1.100,104.244.42.65,1732985445.345678901,13476,8022
in,1500,104.244.42.65,192.168.1.100,1732985445.456789012,14976,8022
out,80,2001:db8::1,2607:f8b0:4004:800::200e,1732985446.567890123,14976,8102
in,1280,2607:f8b0:4004:800::200e,2001:db8::1,1732985446.678901234,16256,8102
out,520,192.168.1.100,185.125.190.56,1732985447.789012345,16256,8622
in,1400,185.125.190.56,192.168.1.100,1732985447.890123456,17656,8622
out,64,192.168.1.100,208.67.222.222,1732985448.901234567,17656,8686
in,128,208.67.222.222,192.168.1.100,1732985449.012345678,17784,8686
out,1500,192.168.1.100,142.250.185.78,1732985450.123456789,17784,10186
in,2800,142.250.185.78,192.168.1.100,1732985450.234567890,20584,10186
out,440,192.168.1.100,13.107.42.14,1732985451.345678901,20584,10626
in,1800,13.107.42.14,192.168.1.100,1732985451.456789012,22384,10626
out,52,192.168.1.100,8.8.8.8,1732985452.567890123,22384,10678
in,84,8.8.8.8,192.168.1.100,1732985452.678901234,22468,10678
out,1500,192.168.1.100,151.101.65.140,1732985453.789012345,22468,12178
in,4500,151.101.65.140,192.168.1.100,1732985453.890123456,26968,12178
out,320,192.168.1.100,93.184.216.34,1732985454.901234567,26968,12498
in,960,93.184.216.34,192.168.1.100,1732985455.012345678,27928,12498
out,1500,192.168.1.100,142.250.185.78,1732985456.123456789,27928,13998
in,1500,142.250.185.78,192.168.1.100,1732985456.234567890,29428,13998
out,200,192.168.1.100,104.16.132.229,1732985457.345678901,29428,14198
in,3600,104.16.132.229,192.168.1.100,1732985457.456789012,33028,14198
out,64,2001:db8::1,2607:f8b0:4004:800::200e,1732985458.567890123,33028,14262
in,512,2607:f8b0:4004:800::200e,2001:db8::1,1732985458.678901234,33540,14262
out,1500,192.168.1.100,172.217.14.206,1732985459.789012345,33540,15762
in,2400,172.217.14.206,192.168.1.100,1732985459.890123456,35940,15762
out,880,192.168.1.100,185.125.190.56,1732985460.901234567,35940,16642
in,1600,185.125.190.56,192.168.1.100,1732985461.012345678,37540,16642
